Ano;Mês;Tipo Operação;Código Abreviado Produto;Nome SKU;volume;caixas;unidades;faturamento;cobertura
2023;6;"CDD";7977;"GATORADE UVA PET 500ML SIXPACK";753,93;25131;150786;508457,36;3018
2023;6;"CDD";7980;"GATORADE TANGERINA PET 500ML SIXPACK";344,58;11486;68916;239239,46;1749
2023;6;"CDD";7979;"GATORADE FRUTAS CITRICAS PET 500ML SIXPACK";373,71;12457;74742;253687,89;1999
2023;6;"CDD";7982;"GATORADE LIMÃO PET 500ML SIXPACK";524,76;17492;104952;361547,87;2614
2023;6;"CDD";7985;"GATORADE MARACUJA PET 500ML SIXPACK";350,22;11674;70044;239801,05;1955
2023;6;"CDD";7981;"GATORADE LARANJA PET 500ML SIXPACK";452,67;15089;90534;308740,41;2273
2023;6;"CDD";8919;"GUARANA CHP ANTARCTICA PET 600ML CX12 NPAL";467,28;6490;77880;258317,43;1711
2023;6;"CDD";8921;"GUARANA CHP ANTARCTICA DIET PET 600ML CX12 NPAL";98,42;1367;16404;52946,05;545
2023;6;"CDD";13065;"H2OH LIMONETO PET 1,5 SHRINK C/06 NPAL";261,63;2907;17442;82728,26;652
2023;6;"CDD";8793;"H2OH LIMÃO C/GAS PET 1,5L CAIXA C/6";264,06;2934;17604;84667,88;981
2023;6;"CDD";8411;"GUARANA CHP ANTARCTICA PET 1,5 SHRINK C/6";2075,13;23057;138342;517852,25;2350
2023;6;"CDD";14844;"GUARANA CHP ANTARCTICA LT 269ML SH C/15";1479,07;36656;549840;877311,48;2232
2023;6;"CDD";14842;"PEPSI COLA LT 269ML SH C/15";453,33;11235;168525;266914,49;1149
2023;6;"CDD";7947;"GUARANA CHP ANTARCTICA PET 2,5L CAIXA C/6";611,4;4076;24456;172013,35;655
2023;6;"CDD";18475;"GUARANA CHP ANTARCTICA LATA 350ML SH C/18 NPAL";16,13;256;4608;9486,05;81
2023;6;"CDD";19164;"GUARANA CHP ANTARCTICA PET 1L PACK C/2 MULTPACK";1211,02;60551;121102;316347,93;1780
2023;6;"CDD";22202;"TONICA ANTARCTICA ZERO PET 1L SH C/06";30,66;511;3066;18545,15;152
2023;6;"CDD";7945;"PEPSI COLA PET 2,5L CAIXA C/6";103,05;687;4122;29194,33;188
2023;6;"CDD";8418;"PEPSI COLA PET 1500 CX06";152,55;1695;10170;37953,84;287
2023;6;"CDD";2231;"GUARANA CHP ANTARCTICA 290ML";57,42;1650;19800;36321,53;305
2023;6;"CDD";8931;"SUKITA PET 600ML CX12 NPAL";39,67;551;6612;21082;282
2023;6;"CDD";18268;"SUKITA PET 200ML SH C/12";119,18;4966;59592;71967,5;923
2023;6;"CDD";22259;"SUKITA UVA PET 200ML SH C/12";59,9;2496;29952;36168,8;510
2023;6;"CDD";19307;"TONICA ANTARCTICA 3 LIMOES LT 269ML SH C/15";14,57;361;5415;9072,84;199
2023;6;"CDD";8923;"PEPSI COLA PET 600ML CX12 NPAL";41,83;581;6972;22543,21;311
2023;6;"CDD";8933;"SODA LIMONADA ANTARCTICA PET 600ML CX12 NPAL";20,16;280;3360;11026,71;193
2023;6;"CDD";19309;"TONICA ANTARCTICA GENGIBRE LT 269ML SH C/15";9,93;246;3690;6282,47;129
2023;6;"CDD";9088;"SODA LIMONADA ANTARCTICA DIET LATA 350ML SH C/12 NPAL";23,98;571;6852;12650,33;193
2023;6;"CDD";19227;"RED BULL BR LATA 355ML FOUR PACK .";47,24;3327;13308;93337,39;297
2023;6;"CDD";26607;"RED BULL PITAYA LATA 250ML FOUR PACK NPAL";6,32;632;2528;16692,2;256
2023;6;"CDD";22220;"FUSION PET 500ML SH C/12 NPAL";1,02;17;204;850,2;8
2023;6;"CDD";2354;"SODA LIMONADA ANTARCTICA DIET PET 2L CAIXA C/6";47,64;397;2382;10697,17;134
2023;6;"CDD";29143;"PEPSI BLACK PET 1 L SH C/06 NPAL";181,86;3031;18186;58887,39;1043
2023;6;"CDD";23463;"ÃGUA MINERAL S/ GÃS AMA GFA PET 500ML PACK C/12 NOVO SHAPE";17,88;298;3576;4748,56;50
2023;6;"CDD";17163;"BARE GUARANA PET 1L CAIXA C/6";2473,14;41219;247314;547889,82;5102
2023;6;"CDD";19321;"GUARANA ANTARCTICA ZERO PET 200ML SH C/12";36,84;1535;18420;23783,19;596
2023;6;"CDD";20943;"BARE GUARANA PET 200ML SH C/12";85,15;3548;42576;48847,39;1027
