marca;descrição;nome_sku;link_foto;x;y;endereço
Spaten;Suada - Frontal;Lata Sleek 269ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/542d5212b1aa8b360ab9b23058ec437e.png;2770;8;data\img\Spaten_LataSleek269ml.png
Pepsi Cola;Suada - Frontal;Garrafa Pet 600ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/3cca0585f7fe1ee04a1abaaffed21c92.png;3040;8;data\img\PepsiCola_GarrafaPet600ml.png
Skol Pilsen;Suada - Frontal;Lata Sleek 310ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/53ebcdd374f79350ec6ad702ac1d5f9f.png;30;9;data\img\SkolPilsen_LataSleek310ml.png
Brahma Refresh;Suada - Frontal;Lata Sleek 269ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/3ad572dea3f2afeabea9e9cceea2f6c8.png;765;9;data\img\BrahmaRefresh_LataSleek269ml.png
Antarctica Pilsen;Suada - Frontal;Garrafa Vidro 355ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/1c11eb5a0acf4d1b1d51d126b61705ad.png;860;9;data\img\AntarcticaPilsen_GarrafaVidro355ml.png
Colorado Ithaca;Suada c/ tampa;Garrafa Vidro 600ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/adecfdf4382fd37c25236eddaaae0b9b.png;1970;9;data\img\ColoradoIthaca_GarrafaVidro600ml.png
Tônica Antarctica Gengibre;Regular - Frontal;Lata Sleek 269ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/9088d23f001cc4bba96093f35b6c1d49.png;3305;9;data\img\TonicaAntarcticaGengibre_LataSleek269ml.png
Original;Regular - Esquerda;Shrink Lata Std 12 x 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/e731722f6e8e3a9e84ea28bf24609673.png;965;10;data\img\Original_ShrinkLataStd12x350ml.png
Bohemia Puro Malte;Multipack - Esquerda;Shrink Lata Sleek 15 x 410ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/ae1402785db11c8d9ce3e4c72f22c0a2.png;1080;10;data\img\BohemiaPuroMalte_ShrinkLataSleek15x410ml.png
Bohemia Puro Malte;Regular - Esquerda;Pack Cartão Garrafa Vidro 6 x 330ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/5ee09ef72f7295ac93d03652349b1aa5.png;1120;10;data\img\BohemiaPuroMalte_PackCartaoGarrafaVidro6x330ml.png
