marca;descrição;nome_sku;link_foto;x;y;endereço
Colorado Vixnu;Suada c/ tampa;Garrafa Vidro 600ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/ae733389323e1d75aef66cab9c5bc2ac.png;1950;33;data\img\ColoradoVixnu_GarrafaVidro600ml.png
Goose Island Honkers Ale;Regular - Frontal;Garrafa Vidro 355ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/1e917a85cf613b4d6331c8d0c65ec775.png;2255;33;data\img\GooseIslandHonkersAle_GarrafaVidro355ml.png
Pepsi Black Sem Açúcares;Regular - Frontal;Garrafa Pet 2L;https://www.catalogoambev.com.br/images/uploads/artes-finais/dd54f43b49e919d63312b604c0f563a6.png;3140;33;data\img\PepsiBlackSemAcucares_GarrafaPet2L.png
Soda Antarctica;Regular - Frontal;Garrafa Pet 1L;https://www.catalogoambev.com.br/images/uploads/artes-finais/0bc127136152abe7ac4b7f984e760718.png;3220;33;data\img\SodaAntarctica_GarrafaPet1L.png
Sukita Laranja;Regular - Frontal;Garrafa Pet 600ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/240df4825c5d1d5a39657973a4e5b516.png;3335;33;data\img\SukitaLaranja_GarrafaPet600ml.png
Gatorade Frutas Cítricas;Suada - Frontal;Garrafa Pet 500ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/489d6afd3d36138f3bfd35f44f37dc5c.png;3520;33;data\img\GatoradeFrutasCitricas_GarrafaPet500ml.png
Beats GT;Misto;Pack Cartão Ice Pop 6 x 100ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/c5634ce0c4a46d62ef9645537451f92d.png;330;34;data\img\BeatsGT_PackCartaoIcePop6x100ml.png
Brahma Chopp;Multipack - Direita;Shrink Lata Sleek 12 x 410ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/44623d3c3f7fed122afbe1079c3a749a.png;535;34;data\img\BrahmaChopp_ShrinkLataSleek12x410ml.png
Antarctica Subzero;Suada - Frontal;Garrafa Vidro 600ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/3afd8c9727325458692f77db8e7b6ba1.png;930;34;data\img\AntarcticaSubzero_GarrafaVidro600ml.png
Budweiser;Promokit - Dourado 1;Kit Pack Cartão Garrafa Vidro 2 x 330ml + 01 Copo;https://www.catalogoambev.com.br/images/uploads/artes-finais/64e6725614ab411e0c0450ef98708fc5.png;1340;34;data\img\Budweiser_KitPackCartaoGarrafaVidro2x330ml01Copo.png
Wäls Verano;Regular - Frontal;Garrafa Vidro 300ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/627be0359ccd550897a6205e4094c459.png;1745;34;data\img\WälsVerano_GarrafaVidro300ml.png
Wäls Cuvée Carneiro;Regular - Frontal;Garrafa Vidro 375ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/5e780943177aa74dac7c8caee8f2757b.png;1780;34;data\img\WälsCuveeCarneiro_GarrafaVidro375ml.png
Colorado Guanabara;Suada - Frontal;Garrafa Vidro 600ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/af8a34f79d325d7d4ee4c2325cffd12d.png;1960;34;data\img\ColoradoGuanabara_GarrafaVidro600ml.png
Isla Limão Siciliano com Gengibre;Regular - Esquerda;Pack Cartão Lata Sleek 6 x 269ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/8db1f3a2cd4f1ea41bc4f3960059c58c.png;2155;34;data\img\IslaLimaoSicilianocomGengibre_PackCartaoLataSleek6x269ml.png
Goose Island Hazy IPA;Com espuma;Acessório Pint 400ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/20f270273418ee476706cbc3b05587db.png;2225;34;data\img\GooseIslandHazyIPA_AcessorioPint400ml.png
Goose Island Midway Session Ipa;Regular - Frontal;Lata Sleek 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/fef55d3a5358ea6e132ae574b6ad8c59.png;2280;34;data\img\GooseIslandMidwaySessionIpa_LataSleek350ml.png
Brahma Zero;Suada - Frontal;Lata Std 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/a941eabac76a9c274dfe84c132b4f58b.png;680;35;data\img\BrahmaZero_LataStd350ml.png
Original;Regular - Esquerda;Pack Cartão Lata Std 12 x 473ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/1773259f03967283d6a7a9f0dcdfae56.png;990;35;data\img\Original_PackCartaoLataStd12x473ml.png
Leffe Radieuse;Com espuma;Acessório Cálice 330ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/f8940595781d6bf543daac7dd5e721a0.png;2580;35;data\img\LeffeRadieuse_AcessorioCalice330ml.png
Pepsi Twist;Regular - Frontal;Garrafa Pet 1,5L;https://www.catalogoambev.com.br/images/uploads/artes-finais/8509d36344dd7c3c45177f7acf7fedc9.png;3110;35;data\img\PepsiTwist_GarrafaPet15L.png
Pepsi Twist;Regular - Frontal;Garrafa Pet 2L;https://www.catalogoambev.com.br/images/uploads/artes-finais/33c9eb829f8c8030d8580f8b9a89609d.png;3115;35;data\img\PepsiTwist_GarrafaPet2L.png
Tônica Antarctica;Suada - Frontal;Lata Std 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/711121f3027e9f28a3b70fdac89ffa14.png;3260;35;data\img\TonicaAntarctica_LataStd350ml.png
Brahma Extra Lager;Suada - Frontal;Lata Std 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/70c208df8935aa9c2df4f1dcb457680b.png;730;36;data\img\BrahmaExtraLager_LataStd350ml.png
Wäls Verano;Suada - Frontal;Garrafa Vidro 600ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/4f856d1766fa43f3f2da15ee8c3562d2.png;1750;36;data\img\WälsVerano_GarrafaVidro600ml.png
Hertog Jan Tripel;Regular - Frontal;Garrafa Vidro 500ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/c88d8e72b4f9fe1c6fdf2c35f4abcaf9.png;2710;36;data\img\HertogJanTripel_GarrafaVidro500ml.png
Spaten;GPI - Esquerda;Pack Cartão Lata Sleek 8 x 269ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/812552b3272ddd6bed672323fbb4171b.png;2785;36;data\img\Spaten_PackCartaoLataSleek8x269ml.png
Sukito Laranja;Regular - Esquerda;Shrink Garrafa Pet 12 x 450ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/46f2dfce788981f07bd7dbc801fc3b7e.png;3395;36;data\img\SukitoLaranja_ShrinkGarrafaPet12x450ml.png
Antarctica Subzero;Multipack - Esquerda;Shrink Lata Std 18 x 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/3c0738394fcdcc942fa10c4efb9bc5c3.png;920;37;data\img\AntarcticaSubzero_ShrinkLataStd18x350ml.png
Original;Suada - Frontal;Lata Std 473ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/b0360a7af5a7393e76ee5384c56ee1d1.png;955;37;data\img\Original_LataStd473ml.png
Colorado Appia;Regular - Frontal;Lata Sleek 410ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/ec71333cc5be4038843a5e895e7a55fc.png;1885;37;data\img\ColoradoAppia_LataSleek410ml.png
Hoegaarden Wit Blanche;Regular - Frontal;Lata Sleek 269ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/d37bff6cff7e3b93fdefbde455793725.png;2485;37;data\img\HoegaardenWitBlanche_LataSleek269ml.png
Pepsi Cola;Regular - Frontal;Lata Sleek 269ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/673bc3f13e6dbd93e95c13aa00be6247.png;2995;37;data\img\PepsiCola_LataSleek269ml.png
Beats CaipiBeats;Regular - Esquerda;Pack Cartão Garrafa Vidro 6 x 269ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/14e8e21722a96d2209f6202ea8ef99dd.png;350;38;data\img\BeatsCaipiBeats_PackCartaoGarrafaVidro6x269ml.png
Brahma Duplo Malte;Regular - Direita;Shrink Lata Sleek 12 x 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/4d18d110802b547e59fce0e6c29db6b6.png;610;38;data\img\BrahmaDuploMalte_ShrinkLataSleek12x350ml.png
Original;Suada - Frontal;Garrafa Vidro 1L;https://www.catalogoambev.com.br/images/uploads/artes-finais/eee4c1190c34d13809828f026155cc3a.png;1005;38;data\img\Original_GarrafaVidro1L.png
Budweiser;Suada - Frontal;Lata Std 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/fc76daeb00584a809b7d9aac0a85e4fb.png;1210;38;data\img\Budweiser_LataStd350ml.png
Colorado Appia;Promokit;Kit Pack Cartão Garrafa Vidro 1 x 600ml + 01 Caldereta;https://www.catalogoambev.com.br/images/uploads/artes-finais/5c437946e5922227f26e250df0e56224.png;1900;38;data\img\ColoradoAppia_KitPackCartaoGarrafaVidro1x600ml01Caldereta.png
Ama Sem Gás;Regular - Frontal;Garrafa Pet 500ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/c7d91f0ec3dfd13b9571dc86d792b1fa.png;3595;38;data\img\AmaSemGas_GarrafaPet500ml.png
Beats Ginger;Regular - Frontal;Ice Pop 100ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/3bae595801147a68d7fa1a9eca475aa8.png;370;39;data\img\BeatsGinger_IcePop100ml.png
Polar Puro Malte;Regular - Frontal;Garrafa Vidro 355ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/887efd3fb1ba66a18532509eed337360.png;1660;39;data\img\PolarPuroMalte_GarrafaVidro355ml.png
Patagonia Amber Lager;Regular - Frontal;Bottle in Bottle 12L;https://www.catalogoambev.com.br/images/uploads/artes-finais/d53214fbaadb0831e6610f7605631724.png;2330;39;data\img\PatagoniaAmberLager_BottleinBottle12L.png
Pepsi Cola;Regular - Frontal;Garrafa Pet 500ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/6656938a272e90376125433dbdc78c9e.png;3035;39;data\img\PepsiCola_GarrafaPet500ml.png
Soda Antarctica;Regular - Frontal;Garrafa Pet 200ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/e7f2ad4e9c7fe5abfef62d7f97afad22.png;3210;39;data\img\SodaAntarctica_GarrafaPet200ml.png
Sukita Uva;Regular - Frontal;Lata Std 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/6db6ab6205fff9b3e9cfccc23ae20372.png;3365;39;data\img\SukitaUva_LataStd350ml.png
Bohemia Puro Malte;Regular - Esquerda;Shrink Lata Std 12 x 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/93954cc2fdc5d5f1ba7873a21bc610ec.png;1060;40;data\img\BohemiaPuroMalte_ShrinkLataStd12x350ml.png
Legítima do Ceará;Suada - Frontal;Lata Std 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/896b63426d6be9664bd56750952a7a21.png;2105;40;data\img\LegitimadoCeara_LataStd350ml.png
Patagonia Weisse;Com espuma;Acessório Tulipa 300ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/7933d840518b47a8343134299248e328.png;2390;40;data\img\PatagoniaWeisse_AcessorioTulipa300ml.png
Pepsi Cola;Regular - Frontal;Garrafa Pet 237ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/62deb397f06a21f138582245415cd003.png;3030;40;data\img\PepsiCola_GarrafaPet237ml.png
Tônica Antarctica Zero;Suada - Frontal;Lata Std 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/f3d392fdc26ec5689ebd8393ff8ce178.png;3285;40;data\img\TonicaAntarcticaZero_LataStd350ml.png
Brahma Duplo Malte;Multipack - Direita;Shrink Lata Sleek 12 x 410ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/d29cb46a83afe606dc577430e5345858.png;620;41;data\img\BrahmaDuploMalte_ShrinkLataSleek12x410ml.png
Antarctica Pilsen;Regular - Esquerda;Shrink Lata Sleek 15 x 269ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/93dc396a63da427ba33686e4706ca065.png;830;41;data\img\AntarcticaPilsen_ShrinkLataSleek15x269ml.png
Original;WA - Esquerda;Caixa de Transporte Garrafa Vidro 12 x 600ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/c38d75f836204a0187408fa38bc9c172.png;1015;41;data\img\Original_CaixadeTransporteGarrafaVidro12x600ml.png
Bohemia Puro Malte;Suada - Frontal;Garrafa Vidro 600ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/6fa6c876e66a65279db7966866d8f672.png;1110;41;data\img\BohemiaPuroMalte_GarrafaVidro600ml.png
Corona Extra;Suada - Frontal;Garrafa Vidro 330ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/069a9c3c195ceb1b6ecf930a1b1e6d50.png;1505;41;data\img\CoronaExtra_GarrafaVidro330ml.png
Spaten;Suada - Frontal;Lata Std 473ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/a47e2585de8b69548ceccab6d29adfa5.png;2780;41;data\img\Spaten_LataStd473ml.png
Skol Pilsen;Suada - Frontal;Garrafa Vidro 600ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/df85d50a46a1a70376434947e0522ddc.png;125;42;data\img\SkolPilsen_GarrafaVidro600ml.png
Brahma Zero;Suada - Frontal;Garrafa Vidro 300ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/628c48c135d5a36a3d35e189e44874dc.png;690;42;data\img\BrahmaZero_GarrafaVidro300ml.png
Coronita Extra;WA - Esquerda;Caixa de Transporte Garrafa Vidro 24 x 210ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/a6d3df42427b222fc9bc75272198b1aa.png;1545;42;data\img\CoronitaExtra_CaixadeTransporteGarrafaVidro24x210ml.png
Corona Cero Sunbrew;Basket - Esquerda;Pack Cartão Garrafa Vidro 6 x 330ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/ea4fd3d5e08fd9940c5c110c5c3ca3ae.png;1555;42;data\img\CoronaCeroSunbrew_PackCartaoGarrafaVidro6x330ml.png
Caracu;Regular - Esquerda;Shrink Lata Sleek 12 x 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/a64974807624a4263009c907ae880eb6.png;1610;42;data\img\Caracu_ShrinkLataSleek12x350ml.png
X Wäls;Regular - Frontal;Garrafa Vidro 600ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/a879e116b881438a38a5f628fb46d315.png;1755;42;data\img\XWäls_GarrafaVidro600ml.png
Patagonia IPA;Regular - Frontal;Garrafa Vidro 355ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/5421df3480b0d849932783f6e0a9f95a.png;2445;42;data\img\PatagoniaIPA_GarrafaVidro355ml.png
Brahma Chopp;Regular - Esquerda;Shrink Lata Std 18 x 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/ad1bee35c14d1d6e8d3b49b7728989fc.png;530;43;data\img\BrahmaChopp_ShrinkLataStd18x350ml.png
Legítima do Ceará;Regular - Esquerda;Shrink Lata Std 12 x 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/8f0bcdee3fb858472f1236b85166dfae.png;2110;43;data\img\LegitimadoCeara_ShrinkLataStd12x350ml.png
Fusion;Regular - Frontal;Garrafa Pet 1L;https://www.catalogoambev.com.br/images/uploads/artes-finais/36b8f24936ae61203c9c36c4bd839faf.png;2840;43;data\img\Fusion_GarrafaPet1L.png
Bohemia Puro Malte;Suada - Frontal;Lata Sleek 269ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/9720a151a788610e5b71dce7359dbe0e.png;1020;44;data\img\BohemiaPuroMalte_LataSleek269ml.png
Wäls Session Citra;Regular - Frontal;Garrafa Vidro 300ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/035ff8df48028069be8e5af68e897d8e.png;1720;44;data\img\WälsSessionCitra_GarrafaVidro300ml.png
Isla Lichia com Romã;Regular - Frontal;Lata Sleek 269ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/083a60d75fbc35eb8e9351798a4a3eeb.png;2140;44;data\img\IslaLichiacomRoma_LataSleek269ml.png
Isla Pêssego e Maracujá;Regular - Esquerda;Pack Cartão Lata Sleek 6 x 269ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/b9baee460ca5890052f9ce5c92651ee9.png;2165;44;data\img\IslaPessegoeMaracuja_PackCartaoLataSleek6x269ml.png
Kona Big Wave;Suada - Frontal;Garrafa Vidro 355ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/a416f4a56e3b4d2b7bd4ab2346c1da41.png;2820;44;data\img\KonaBigWave_GarrafaVidro355ml.png
Tônica Antarctica;Regular - Frontal;Garrafa Pet 1L;https://www.catalogoambev.com.br/images/uploads/artes-finais/e1af48f346f2a026b6a934134cd0d0b2.png;3265;44;data\img\TonicaAntarctica_GarrafaPet1L.png
Beats Senses;Regular - Frontal;Lata Sleek 269ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/d7975ce5017426faa1259e1ee22cb0f5.png;270;45;data\img\BeatsSenses_LataSleek269ml.png
Beats GT;Regular - Frontal;Garrafa Vidro 269ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/c262dd48b8260d7b758cc9c84bdeca71.png;315;45;data\img\BeatsGT_GarrafaVidro269ml.png
Mike's Hard Seltzer Pêssego;Regular - Frontal;Lata Sleek 269ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/f65bb688f3ff5e4367a0a902b774c74d.png;470;45;data\img\MikesHardSeltzerPessego_LataSleek269ml.png
Brahma Extra Red Lager;Regular - Esquerda;Pack Cartão Garrafa Vidro 6 x 355ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/ce33f9e9ad86f54512d1b3761d5886d2.png;780;45;data\img\BrahmaExtraRedLager_PackCartaoGarrafaVidro6x355ml.png
Michelob Ultra;Regular - Esquerda;Pack Cartão Lata Sleek 8 x 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/21033870736a1a6cec5c9750df60349a.png;2470;45;data\img\MichelobUltra_PackCartaoLataSleek8x350ml.png
H2OH Limão;Suada - Frontal;Garrafa Pet 1,5L;https://www.catalogoambev.com.br/images/uploads/artes-finais/ad5dc1327894e505fe3027398047d8ea.png;3165;45;data\img\H2OHLimao_GarrafaPet15L.png
Sukita Guaraná;Regular - Frontal;Garrafa Pet 2L;https://www.catalogoambev.com.br/images/uploads/artes-finais/386d8c42608833f4ad89a5c6bb86a8cc.png;3385;45;data\img\SukitaGuarana_GarrafaPet2L.png
Budweiser;Copa 2022 - Brasil;Garrafa Alumínio 330ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/d76f05f55134328b63e6fcae4856960d.png;1280;46;data\img\Budweiser_GarrafaAluminio330ml.png
Wäls Lager;Regular - Frontal;Lata Std 473ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/12165d90d8b1e8e914961586f578a408.png;1710;46;data\img\WälsLager_LataStd473ml.png
Tônica Antarctica Gengibre;Regular - Frontal;Garrafa Vidro 275ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/6f0d9243cd4f480c5e238a7f010ea44d.png;3310;46;data\img\TonicaAntarcticaGengibre_GarrafaVidro275ml.png
Beats Mint;Misto;Pack Cartão Ice Pop 6 x 100ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/5671b3bf390c142bd3e23bc836d8f307.png;400;47;data\img\BeatsMint_PackCartaoIcePop6x100ml.png
Antarctica Subzero;Suada - Frontal;Garrafa Vidro 1L;https://www.catalogoambev.com.br/images/uploads/artes-finais/b2c278bcbba56afbb62a3dfbed3b76a4.png;935;47;data\img\AntarcticaSubzero_GarrafaVidro1L.png
Caracu;Regular - Esquerda;Shrink Lata Std 12 x 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/d811bfcf1b043f2be6ce09fbb061a61c.png;1605;47;data\img\Caracu_ShrinkLataStd12x350ml.png
Caracu;Regular - Direita;Pack Cartão Garrafa Vidro 6 x 355ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/8515165d83216ce398382738742253c1.png;1620;47;data\img\Caracu_PackCartaoGarrafaVidro6x355ml.png
Franziskaner Hell;Com espuma;Acessório Chopp 500ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/aa1ca0a0d16c66c0c65856765b69e224.png;2190;47;data\img\FranziskanerHell_AcessorioChopp500ml.png
Modelo Especial;Regular - Esquerda;Caixa de Transporte Garrafa Vidro 12 x 600ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/095bf21c4bef0ac62596e6e5640d73b2.png;2765;47;data\img\ModeloEspecial_CaixadeTransporteGarrafaVidro12x600ml.png
Sukita Uva;Regular - Esquerda;Shrink Lata Std 12 x 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/39effd6b28b9ae6dc785ae74e7313a41.png;3370;47;data\img\SukitaUva_ShrinkLataStd12x350ml.png
Wäls Quadruppel;Suada - Frontal;Garrafa Vidro 375ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/f158bd35e425c3891c3a420fb9f415c1.png;1800;48;data\img\WälsQuadruppel_GarrafaVidro375ml.png
Patagonia Weisse;Suada - Frontal;Garrafa Vidro 355ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/cfc9fe59286dfb2d31cd968dfca496c4.png;2380;48;data\img\PatagoniaWeisse_GarrafaVidro355ml.png
Ambev;Regular - Esquerda;Garrafeira 12 x 1L;https://www.catalogoambev.com.br/images/uploads/artes-finais/0c4000121210a577d67ff733baffc75d.png;20;49;data\img\Ambev_Garrafeira12x1L.png
Brahma Chopp;Suada - Frontal;Garrafa Vidro 600ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/4212248f52ffc27b725622b75c70499c.png;560;49;data\img\BrahmaChopp_GarrafaVidro600ml.png
Caracu;Suada - Frontal;Garrafa Vidro 355ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/5155da5c447cc20675ad6ab33cf66a57.png;1615;49;data\img\Caracu_GarrafaVidro355ml.png
Quilmes;Com espuma;Acessório Chopp 354ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/3f19325d3f779798492e127ff8be313f.png;2675;49;data\img\Quilmes_AcessorioChopp354ml.png
Soda Antarctica;Regular - Esquerda;Shrink Lata Std 12 x 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/6777e0757b1536c4ac55d279a288cf86.png;3205;49;data\img\SodaAntarctica_ShrinkLataStd12x350ml.png
Skol Pilsen;Multipack - Esquerda;Shrink Lata Sleek 6 x 410ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/b5ccd7a42f28c25ee804ab36532671b9.png;85;50;data\img\SkolPilsen_ShrinkLataSleek6x410ml.png
Brahma Chopp;Multipack - Direita;Shrink Lata Sleek 15 x 410ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/a85abaafd90a4ea06b2b63f7b3d3d781.png;540;50;data\img\BrahmaChopp_ShrinkLataSleek15x410ml.png
Polar Export;Suada - Frontal;Lata Std 473ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/3aea37973c2d7398fe1bb4ca11deacc9.png;1630;50;data\img\PolarExport_LataStd473ml.png
Polar Export;Suada - Frontal;Garrafa Vidro 600ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/492fbf18c54d97455a813e74a125acf8.png;1645;50;data\img\PolarExport_GarrafaVidro600ml.png
Wäls Trippel;Suada - Frontal;Garrafa Vidro 375ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/e8b302b588ba2a7d08a2f097ea848308.png;1805;50;data\img\WälsTrippel_GarrafaVidro375ml.png
Colorado Cauim 016;Com espuma;Acessório Caldereta 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/66afa266708a68946d31e387e561ab65.png;1945;50;data\img\ColoradoCauim016_AcessorioCaldereta350ml.png
Modelo Especial;Regular - Esquerda;Caixa de Transporte Garrafa Vidro 12 x 355ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/0b5ec47de403184cf7cd7c4056518a90.png;2760;50;data\img\ModeloEspecial_CaixadeTransporteGarrafaVidro12x355ml.png
Sukita Limão;Regular - Frontal;Garrafa Pet 2L;https://www.catalogoambev.com.br/images/uploads/artes-finais/acd71c47642269dbbf79592b325cb247.png;3360;50;data\img\SukitaLimao_GarrafaPet2L.png
Baré Guaraná;Regular - Frontal;Garrafa Pet 2L;https://www.catalogoambev.com.br/images/uploads/artes-finais/16296a15a0b677f0e42988aca87a9603.png;3415;50;data\img\BareGuarana_GarrafaPet2L.png
Skol Puro Malte;Suada - Frontal;Lata Std 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/f23ca67ded1d00c0b79dc41bc068e415.png;150;51;data\img\SkolPuroMalte_LataStd350ml.png
Colorado Indica;Suada c/ tampa;Garrafa Vidro 600ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/4a8d5ce44b45c6c478d4359792b1fcfc.png;1910;51;data\img\ColoradoIndica_GarrafaVidro600ml.png
Colorado Rosália;Com espuma;Acessório Caldereta 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/892478462ad9495041aae41254a4ad14.png;2025;51;data\img\ColoradoRosalia_AcessorioCaldereta350ml.png
Leffe Royale;Suada - Frontal;Garrafa Vidro 330ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/bbed9e72cdede1521dec3367c20dd8b8.png;2615;51;data\img\LeffeRoyale_GarrafaVidro330ml.png
Spaten;Suada - Frontal;Garrafa Vidro 355ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/05e40fa74d7554be73b0b0f006a91474.png;2800;51;data\img\Spaten_GarrafaVidro355ml.png
Beats 150BPM by Anitta;Regular - Frontal;Garrafa Pet 100ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/529b11c7d524e422f962a26140b07583.png;405;52;data\img\Beats150BPMbyAnitta_GarrafaPet100ml.png
Brahma Chopp;Suada - Frontal;Garrafa Vidro 300ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/f8179df15224c42abf71e04fe952396d.png;550;52;data\img\BrahmaChopp_GarrafaVidro300ml.png
Brahma Duplo Malte;Multipack - Direita;Shrink Lata Sleek 6 x 410ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/7735f74d921e9ffe6e082b98c6fc97af.png;615;52;data\img\BrahmaDuploMalte_ShrinkLataSleek6x410ml.png
Bohemia Aura Lager;Com espuma;Acessório Taça;https://www.catalogoambev.com.br/images/uploads/artes-finais/aa752dd3410a600a7063b884a47f4498.png;1185;52;data\img\BohemiaAuraLager_AcessorioTaca.png
Budweiser;Regular - Frontal;KEG 5L;https://www.catalogoambev.com.br/images/uploads/artes-finais/916bf5afd3617687078a2a3f2ca7d988.png;1325;52;data\img\Budweiser_KEG5L.png
Polar Export;Suada - Frontal;Garrafa Vidro 1L;https://www.catalogoambev.com.br/images/uploads/artes-finais/901d8c06d728bb7a055679a99b1f34ef.png;1650;52;data\img\PolarExport_GarrafaVidro1L.png
Nossa de Pernambuco;Suada - Frontal;Lata Std 473ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/79b76df9c771e4906e72277a5739cf9a.png;2080;52;data\img\NossadePernambuco_LataStd473ml.png
Nossa de Pernambuco;Suada - Frontal;Garrafa Vidro 300ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/5b8e3ce264881f8f36ca02f1589e0b37.png;2085;52;data\img\NossadePernambuco_GarrafaVidro300ml.png
Isla Limão Siciliano com Gengibre;Regular - Frontal;Lata Sleek 269ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/4504da469aabd46590c3c734cbb18c93.png;2150;52;data\img\IslaLimaoSicilianocomGengibre_LataSleek269ml.png
Guaraná Antarctica Sem Açúcares;Suada - Frontal;Garrafa Pet 200ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/81348e0a75eb462d718799d2d41921e3.png;2960;52;data\img\GuaranaAntarcticaSemAcucares_GarrafaPet200ml.png
